CVR Nummer,Navn,Kommune Navn
27214231,Slagelse Ortho-Teknik I/S,SLAGELSE
34555672,Slagelse Efterløn's og Pensionistforening,SLAGELSE
16359394,KIRSTEN KRISTENSEN,SLAGELSE
14900705,J K TRADING                       V/JETTE KRISTENSEN,SLAGELSE
29122431,Afro Exotic Butik v/Omowunmi Folasade Johansen,SLAGELSE
14206485,Eva Lund Petersen,SLAGELSE
21134309,SHELL SERVICE                     V/JESPER JUST,SLAGELSE
17425196,BRITTA JENSEN,SLAGELSE
27336175,Klinik for fysioterapi            v/Hanne Lee,SLAGELSE
20466073,CASINOTORVETS PØLSEVOGN           V/REMZI HEMISOGLU,SLAGELSE
25267311,Pamfilius                         V/Malene Birkedal,SLAGELSE
26125626,Chokolade Symfonien v/Rima Turke,SLAGELSE
29850011,MediaNet International Inc,SLAGELSE
32072550,MURERMESTER                       LASSE BJERGØ,SLAGELSE
26972140,Salon Meduza v/Lise F Petersen,SLAGELSE
15353406,VOGNMAND PER HENNING JENSEN,SLAGELSE
17971832,HENRIK HELGE,SLAGELSE
89950228,ANDELSSELSKABET MØLLEVEJ 3,SLAGELSE
27424783,BJAS ApS,SLAGELSE
27442501,Horn & Boving Trading House       v/Lisbeth Giede Bøving,SLAGELSE
35374507,Xenzora Humane,SLAGELSE
32403220,Scandinavian Designhouse Webshop v/Chris Michael Münkel,SLAGELSE
11971113,SALON HERDIS                      V/H RASMUSSEN,SLAGELSE
35850880,BANG SERVICE GROUP ApS,SLAGELSE
35946756,Moster Signe,SLAGELSE
35059849,Multi service,SLAGELSE
39032481,NB dressage,SLAGELSE
38654845,Smaekmoess,SLAGELSE
38582577,J&O Design,SLAGELSE
26826764,JM DEVELOPMENT A/S,SLAGELSE
37279722,SaronCollection,SLAGELSE
31933005,MAGIC MICRO SYSTEMS A/S,SLAGELSE
38260855,RN Holding Korsør ApS,SLAGELSE
27109802,JOHANSEN INVEST & CONSULTING ApS,SLAGELSE
29388059,LINDBOLIG A/S,SLAGELSE
39912627,Slagelse Engineering v/ Casper Berg,SLAGELSE
34424462,Rude Vandværk A.M.B.A,SLAGELSE
33173199,Lokalrådet for Hejninge og Stillinge Sogne,SLAGELSE
39849739,Demirel ApS,SLAGELSE
11449816,SLAGELSE GYMNASTIKFORENING,SLAGELSE
26880114,BENNI PEDERSEN HOLDING ApS UNDER  STIFTELSE,SLAGELSE
41542799,SEETV ApS,SLAGELSE
28720173,PER WORM ISOLERING ApS,SLAGELSE
28665512,PN GROUP ApS,SLAGELSE
28851529,AKTIVT VELVÆRE A/S,SLAGELSE
29134308,HK AUTOMOBILER SLAGELSE ApS,SLAGELSE
38242407,BUGHI IVS,SLAGELSE
29720231,Kom-Ann Den rullende hudpleje v/Ann Bech Andersen,SLAGELSE
26690269,FrisørAtelieret v/Belinda Sponholtz,SLAGELSE
33211384,Bisserup Digelag,SLAGELSE
33374747,RASMUS HANSEN HOLDING ApS,SLAGELSE
40029729,Havnens Genbrug,SLAGELSE
18063182,ERIK RUHOFF JENSEN,SLAGELSE
32001823,Kfum Spejderne Stillinge Gruppe,SLAGELSE
30940601,Frisør - Christina Gandrup,SLAGELSE
20509376,B I M                             V/JESPER BANG JØRGENSEN,SLAGELSE
19256995,EJERLAUGET VALDEMARSGADE-KAREERNE,SLAGELSE
43520814,bil-linjen,SLAGELSE
38943820,SCWeb,SLAGELSE
32151353,SMCP ApS,SLAGELSE
30947886,Mødrehjælpens Lokalforening Slagelse,SLAGELSE
21934879,JOHNNI ERIK HANSEN,SLAGELSE
15029870,MARINEFORENINGENS SLAGELSEAFDELING V/HENRIK FABER,SLAGELSE
40255745,Sine L - Tattoo,SLAGELSE
36103639,Kruse IT,SLAGELSE
40686266,Rengørings fotograffen,SLAGELSE
32966454,Ejerforeningen Herrestræde 9-11,SLAGELSE
72836758,TAGE BECK,SLAGELSE
37526355,Familien Thyregod,SLAGELSE
31910161,Korsør Miniby,SLAGELSE
34550514,Grunejerforeningen 18d Næsby Strand,SLAGELSE
15715049,ANTVORSKOV KIRKEKASSE,SLAGELSE
37810746,EV Ejendomsservice ApS,SLAGELSE
30237072,"KRC HOLDING, SLAGELSE ApS",SLAGELSE
33505647,LKR EJENDOMME ApS,SLAGELSE
25715160,"TANDPROTETIKEREN, SLAGELSE ApS",SLAGELSE
27471714,CAFE VIVALDI HOLDING ApS,SLAGELSE
94729653,EJERLEJLIGHEDSFORENINGEN NYGADE 5,SLAGELSE
32800254,Hashøj-gruppen,SLAGELSE
32746209,Sct. GeorgsGildernes hus Korsør,SLAGELSE
32811396,Bådeforeningen Magleø,SLAGELSE
30031156,Bygge & Baneservice v/Johnny Henrik Olsen,SLAGELSE
32801692,Andelsboligforeningen Birkeparken,SLAGELSE
40485147,Grundejerforeningen Rosenhaven,SLAGELSE
31349702,Revisorfirmaet Gjermandsen I/S,SLAGELSE
71330613,ANDELSBOLIGFORENINGEN SMEDEGADE 73,SLAGELSE
33336144,KCN Montage v/Kenni Christian Nielsen,SLAGELSE
32870147,Sommerstedt & Co v/Christina Sommerstedt,SLAGELSE
35022678,Struktør Funch v/Mads Funch Nielsen,SLAGELSE
38936077,TLG Consulting ApS,SLAGELSE
33864124,LANDCENTRALEN ApS,SLAGELSE
35962247,KT Montage I/S,SLAGELSE
21914878,ABDULLA DAWOODI V/ABED DAWOODI,SLAGELSE
30675916,Landsbyrådet for Ørslev og omegn,SLAGELSE
26970725,Frisørsalon Coco De Mer           v/Mary Christiansen,SLAGELSE
21089192,NORDISK NUMISMATISK UNIONS FOND V/HENNING I LARSEN,SLAGELSE
10203848,KIRKE-STILLINGE EL-FORRETNING A/S,SLAGELSE
38064665,Kontorfællesskabet - Slagelse ApS,SLAGELSE
33149905,DALLAS HOLDING ApS,SLAGELSE
31849233,PARTYEKSPERTEN ApS,SLAGELSE
50144410,Fdf-Slagelse Kreds 2,SLAGELSE
24988821,Zoneterapeut                      V/Ditte Loft,SLAGELSE
17532235,DAN NIELSEN,SLAGELSE
34923396,Coffee Experience,SLAGELSE
19982947,COBRA KABLER                      V/ØJVIND ALSTRUP,SLAGELSE
70876914,O P FONDEN,SLAGELSE
26326877,Harry Sørensen,SLAGELSE
27958648,KIRSTEN RYNORD HOLDING ApS,SLAGELSE
16315370,Dm v/Dennis Malle,SLAGELSE
24217922,SLAGELSES BEGRAVELSESFORRETNING   ApS,SLAGELSE
37633631,Malermester Camilla Brossmann,SLAGELSE
29778647,SKOVGAARD VINE ApS,SLAGELSE
29244731,KNUD NIELSEN ApS UNDER STIFTELSE,SLAGELSE
29806748,VESTSJÆLLANDSKE EJENDOMME ApS,SLAGELSE
30285565,Rolighed Consult v/Jeanette Rolighed Andersen,SLAGELSE
36020938,TRANSLATØR BETTINA PEDERSEN ApS,SLAGELSE
27736904,SK-VARME A/S,SLAGELSE
28885369,JMI MÆGLER ApS,SLAGELSE
18708086,"TXK 18/8 1995 ApS JAK EKSPORT/IMPORT, DENMARK",SLAGELSE
19434141,PBH 25.059 ApS,SLAGELSE
28045573,J.V. Jensen v/John V. Jensen,SLAGELSE
30165128,Henrik Jensen,SLAGELSE
36414634,KOLDSØ EJENDOMME ApS,SLAGELSE
26527783,Clinic Skin Magic                 v/Bettina K. Nielsen,SLAGELSE
39368099,Vognmand Mark Rolighed ApS,SLAGELSE
34667470,Skælskør Sportsfiskerforening,SLAGELSE
34657424,Liberal Alliances Ungdom Vestsjælland,SLAGELSE
27860591,Reitz Byg v. Hans Kumler,SLAGELSE
38139924,S.W.Multiservice,SLAGELSE
31643732,Massage og Træning v/Marianne Sommer Gejel,SLAGELSE
54396317,SERGENTKLUBBEN,SLAGELSE
86206811,SØREN SKOVAGER JENSEN,SLAGELSE
29753148,KVK design v/Kenneth Vedel Kristensen Jensen,SLAGELSE
21970840,Klaus R Rasmussen,SLAGELSE
35502246,Henriks HandyService,SLAGELSE
30352459,FL-CONSULT ApS,SLAGELSE
10352231,Revisor Jesper Thygesen,SLAGELSE
12107900,SJÆLLANDS VAGTSERVICE V/JOHN JENSEN,SLAGELSE
27027113,Klinik for Fodterapi v/Mona Mikkelsen,SLAGELSE
30945689,Madhuset Slagelse v/Helle Steiner Nielsen,SLAGELSE
32866123,Strandparken 1,SLAGELSE
36718927,Jobu Metals ApS,SLAGELSE
19744078,JESS ANDERSENS HOLDING. SLAGELSE  ApS,SLAGELSE
29769664,AD CONTROL ApS,SLAGELSE
28309163,KIM ØEHL ANDERSEN HOLDING ApS,SLAGELSE
35354603,Korsør Lokalråd,SLAGELSE
35836853,"RF HOLDING, SLAGELSE ApS",SLAGELSE
30070844,FORSIKRINGSMÆGLERSELSKABET MENTOR ApS,SLAGELSE
36777230,"Familiehuset ""Engstien""",SLAGELSE
30016297,Slagelse Kunstforening,SLAGELSE
58517119,HUGO RASMUSSEN.                   VOGNMANDSFORRETNING. ApS.         SLAGELSE,SLAGELSE
38686135,skavn-beauty,SLAGELSE
37088684,Grundejerforeningen Jonsvangen,SLAGELSE
32641822,Havrebjerg gymnastik og idrætsforening,SLAGELSE
31247217,MILLER TRYK v/Birgit Jørgensen,SLAGELSE
32396224,GRAFISK-STØTTEFORENING SLAGELSE MUSEUM,SLAGELSE
25145372,Havrebjerg Møllegård V/Per Claus Jensen,SLAGELSE
30342216,Aasted v/Lars Aasted Jakobsen,SLAGELSE
31394716,Skælskør Amatør Sejlklub,SLAGELSE
21885541,QVALITY SERVICE                   V/CHARLOTTE EGEMAR OLSEN,SLAGELSE
35198067,Grundejerforeningen Musholmparken,SLAGELSE
27183409,TIMI INVEST ApS,SLAGELSE
11591310,Murermester S Jensen I/S Østerbro                                   Postbox 36,SLAGELSE
32886582,SLAGELSE ENTREPRENØRSERVICE HOLDING ApS,SLAGELSE
31516196,Navemadkasser v/Anna Katarina Bjerre,SLAGELSE
40345930,Bærentzen Entreprise IVS,SLAGELSE
14167730,Ejendommen Østerbrohus            v/Svend Helge Jensen,SLAGELSE
32627048,Sørbymagle Idræts forening,SLAGELSE
26953049,Vindueskonpagniet                 v/Lars Sørensen,SLAGELSE
29268010,HARREBOE v/Jens Harreboe,SLAGELSE
28358105,Sunesen trading v/ Kasper Sunesen,SLAGELSE
24993930,Jette Jensen,SLAGELSE
75941919,FREDDY ANDERSEN,SLAGELSE
25784324,Revisor Herman Frederiksen,SLAGELSE
27259871,L.M. Textil                       v/Lis Madsen,SLAGELSE
27888143,Tiedemann Måneskinsenterprise v/ Stig Christian Tiedemann,SLAGELSE
25681363,Webdesign Danmark v/Kasper Hvid Carlsen,SLAGELSE
63264628,Carsten Michael Larsen,SLAGELSE
21934895,LOLA'S SYSTUE                     V/BLANCHE SØRENSEN,SLAGELSE
29863687,V-COM v/Tomas Vilholm,SLAGELSE
34504776,H/F Etterbjerg,SLAGELSE
25796764,Dagbehandlingstilbuddet Lille Valbygård,SLAGELSE
35010262,Slagtershoppen,SLAGELSE
36437448,FRIIS BLIND ApS,SLAGELSE
36146656,Guldsmedene I/S,SLAGELSE
19115208,CITY KUNST OG ANTIK               V/ANNE MARIE HANSEN,SLAGELSE
27614701,HL BYGGEENTREPRISE ApS,SLAGELSE
26648521,J.C. Carlsen's VVS                v/Jimmi Carlsen,SLAGELSE
36314249,Majora,SLAGELSE
21726141,ApS KBUS 38 NR. 3613,SLAGELSE
25315758,RK MONTAGE HOLDING ApS,SLAGELSE
30418891,Danlinc Multiservice v/Johnny Iversen,SLAGELSE
28254369,MiaRosa v/Karina Kamilla Voigt,SLAGELSE
27621627,Tømrermester Brian Thomsen,SLAGELSE
77420428,MALERMESTER E. MUNCH PEDERSEN.    KIRKE STILLINGE ApS,SLAGELSE
37580562,"Vejlauget for Stenten, Hækken & Gærdet på Næsbystrand",SLAGELSE
26194547,S.C. Nielsen Handel og Rep        v/Sonny Nielsen,SLAGELSE
34595194,JH 1 HOLDING ApS,SLAGELSE
40874232,RJ BYG,SLAGELSE
29185360,P.B. EJENDOMSINVEST ApS,SLAGELSE
12784899,SVEND AAGE NIELSEN. AUTORISERET EL-INSTALLATØR A/S,SLAGELSE
30282205,JMI INVESTERING A/S,SLAGELSE
41314869,Dissing Workwear ApS,SLAGELSE
32508367,Masu v/Tenna Hougaard Baltzer,SLAGELSE
34135533,Det Radikale Venstra - Slagelse kredsen,SLAGELSE
29770522,FILTERSUPPORT ApS,SLAGELSE
35056912,STOREBÆLT TAGRENS ApS,SLAGELSE
27715923,Ferdinands Bøfhus v/Martin Castillo,SLAGELSE
28147872,TVJ HOLDING ApS,SLAGELSE
10128951,BEJS BYG A/S,SLAGELSE
30099427,U. S. Transport v/Udo John Stahnke,SLAGELSE
35492712,Slagelse Hockeyklubs Støtteforening,SLAGELSE
26590256,Johnny Jensen,SLAGELSE
37248509,"Grundejerforeningen Bakkehøj 1, Vemmelev",SLAGELSE
38438174,PMT Invest ApS,SLAGELSE
30231716,Venstres Kommuneforening i Slagelse Kommune,SLAGELSE
28593821,Speciallæge Lars Bendtsen,SLAGELSE
36668024,LA Pressefoto,SLAGELSE
28626924,Ejendommen Sorø Landevej v/Frank Olsen,SLAGELSE
31187192,GRØNSUNDSVEJ 49 A NYKØBING ApS,SLAGELSE
33726864,museumsforeningen for skovsgaard mølle og bageri museum,SLAGELSE
34255725,Slagelse Ortho-Teknik v/Helle Birch,SLAGELSE
86611813,E/F FRUERGAARDEN,SLAGELSE
21474207,ANDELSBOLIGFORENINGEN NDR. RINGGADE 26-30,SLAGELSE
38550306,HSJ Sand og Sodablæsning,SLAGELSE
31541239,Hovborg Murerfirma,SLAGELSE
33321309,Lokalrådet for Vemmelv og Omegn,SLAGELSE
17930486,SLAGELSE EL-SERVICE STEEN NIELSEN,SLAGELSE
10515432,DYRENES ELDORADO V/TAGE MØLLER PETERSEN,SLAGELSE
13101183,DEN ANDENSIDSTE VIKING/ THE FREEBSD PROJEKT V/POUL-HENNING KAMP,SLAGELSE
32612423,Landsforeningen af 10. Klasseskoler i Danmark,SLAGELSE
33565259,Broderloge nr. 60 Hammeren,SLAGELSE
21094145,"HUDKLINIKKEN V/SPECIALLÆGE, DR.MED. STEFFEN MUNKVAD",SLAGELSE
37553247,T.I.F. Aktivitetsudvalg,SLAGELSE
33816030,Gimlinge Landsbyråd,SLAGELSE
30296958,Sportsfiskerforeningen for Slagelse og Omegn,SLAGELSE
34429944,TeaterGruppen CasaBlanca,SLAGELSE
39499304,Cobot Lift Holding IVS,SLAGELSE
28865422,PULCINELLA ApS,SLAGELSE
31152186,SALLI HOLDING ApS,SLAGELSE
29373175,Marianne´s Hairstudio v/Marianne Lund Andersen,SLAGELSE
32758495,Andelsboligforeningen Rødhøj II,SLAGELSE
30229339,Slagelse Bowling Club,SLAGELSE
37812641,"Grundejerforeningen ""Købmandsgården""",SLAGELSE
33622104,Beboerrepræsentationen Kastanievej 10A og 10B,SLAGELSE
31969840,FS Hashøj,SLAGELSE
32488706,A/B Hesselhaven,SLAGELSE
33742541,Johns Autoservice v/John Flemming Christensen,SLAGELSE
28158882,S.A.M.K. HOLDING ApS,SLAGELSE
32577199,Den Vietnamesiske Evangeliske Menighed,SLAGELSE
32087299,KINGS AND QUEENS ApS,SLAGELSE
35409165,RIGTIG HUNDEMAD ApS,SLAGELSE
36589736,S/I Agersø Naturcenter,SLAGELSE
39510693,Cobot Lift ApS,SLAGELSE
39653095,Venslev Autoelektro ApS,SLAGELSE
40832270,Tina L,SLAGELSE
34781141,ejerforeningen sdr stationsvej 14 4200,SLAGELSE
20657642,J P RENGØRING,SLAGELSE
31821479,Andelsboligforeningen Gartnerhaven I,SLAGELSE
61082514,GDR JØRGEN JENSEN,SLAGELSE
34673357,Grundejerforeningen Niels Jensens vej,SLAGELSE
36293268,Hansens herreklip,SLAGELSE
40742743,Skift Fokus ApS,SLAGELSE
30457803,Livsnyder v/Karen Loy Tengberg,SLAGELSE
29726655,Udviklingskonsulenterne v/Irene Rasmussen,SLAGELSE
33187823,Bisserup Byting,SLAGELSE
19959775,LIEN FINANS ApS,SLAGELSE
33630328,Frisør Beauty Care v/Karina Egelund Rasmussen,SLAGELSE
32362737,EV BOLIG II ApS,SLAGELSE
31302358,Dansk Print v/Henning Topholm,SLAGELSE
12467907,SLAGELSE TAXA VOGNBESTILLINGS-    KONTOR,SLAGELSE
35066187,SomDevelopment,SLAGELSE
26841534,PH X-Press                        v/Poul Hansen,SLAGELSE
31194237,Jess´ Malerfirma v/Jess Peter Kvistgård Christensen,SLAGELSE
25432622,BANG & RÜSLER ApS,SLAGELSE
20299894,MØLLER & MADSEN REGISTRERET       REVISIONSAKTIESELSKAB,SLAGELSE
14094172,STOREBÆLT MOTOR SERVICE A/S,SLAGELSE
29050430,Skovgaard Vine I/S,SLAGELSE
34103488,Fond for erhvervssponsorater til kultur- sport og Fritidslivet i Slagelse kommune,SLAGELSE
31758564,SECNORDIC INTERNATIONAL ApS,SLAGELSE
30422740,Heldal Design v/Jens Heldal,SLAGELSE
35282386,YourSolution I/S,SLAGELSE
21501506,ELEKTROBIKSEN                     V/ZOUHEIR A SALLALLAH,SLAGELSE
32796664,S.A.F.C. Støtteforening,SLAGELSE
33493703,ART2B HOLDING ApS,SLAGELSE
10873436,'K. JØRGENSEN & SØN ApS',SLAGELSE
34473234,LBJ TØMRERFORRETNING ApS,SLAGELSE
18855577,Anders Jensen,SLAGELSE
31540194,"Dansk Røde Kors, Slagelse afdeling",SLAGELSE
18735032,FFP-KOMMUNIKATION V/FRANK PEDERSEN,SLAGELSE
26218799,Ejerlejlighedsforeningen Schweizerpladsen 1 B,SLAGELSE
31155908,RH PUMPER ApS,SLAGELSE
40665455,Tnk Multiservice v/ Tobias Noe Karlsen,SLAGELSE
27457797,SEJS DYNER ApS,SLAGELSE
26448719,SLAGELSE HANDELSSTANDSFORENING STIFTELSEN TORVEGADE 28 - 30,SLAGELSE
26820316,SLAGELSE TENNISKLUB,SLAGELSE
26360978,REKLAMECENTRET TAGE SØRENSEN ApS,SLAGELSE
39621770,Mathias Paaske Holding IVS,SLAGELSE
35948473,Frisør Madame Blå,SLAGELSE
30269829,Nordbyens Badminton Klub,SLAGELSE
33695225,Børns Voksenvenner Slagelse og omegn,SLAGELSE
40068686,MDSJ ApS,SLAGELSE
33759940,H.L. HOLDING SLAGELSE ApS,SLAGELSE
37924407,Vestsjællands Distrikts Gilde,SLAGELSE
34473188,LBJ HOLDING SKÆLSKØR ApS,SLAGELSE
32176135,By IO Lene Clausen,SLAGELSE
40476431,Nordhallens Venner,SLAGELSE
38534203,Fima Trading ApS,SLAGELSE
38567381,Stendal & Kruse VVS ApS,SLAGELSE
32791573,KFUM Spejdernes Forældreforening,SLAGELSE
30438299,Grundejerforeningen Kildehaven,SLAGELSE
33948409,T. EILERSEN HOLDING ApS,SLAGELSE
34318824,FEM MULTI,SLAGELSE
32615465,"Andelsboligforeningen Mølleager I, Skælskør",SLAGELSE
35903550,Fuld af Dyr I/S,SLAGELSE
15000147,VICH 2776 ApS,SLAGELSE
53490018,OLGA THORGILS LEGAT,SLAGELSE
31055245,JENSEN OG JØRGENSEN ApS,SLAGELSE
30288033,A/B Holstebroparken,SLAGELSE
17814389,XKT 26/5 1994 ApS,SLAGELSE
38917943,Ejrup og Lind ApS,SLAGELSE
32717144,De Grønne Pigespejdere,SLAGELSE
32757928,"Haveforeningen ""Storebælt""",SLAGELSE
16225282,KELD PEDERSEN                                                       POSTBOX 97,SLAGELSE
27611575,M.P.R.                            v/Martin Patrick Rasmussen,SLAGELSE
81240817,VESTSJÆLLANDS ELEKTRO ApS,SLAGELSE
28060157,Regnskabskonsulent Anne Hansen,SLAGELSE
30401719,Zilvar v/Pia Valsgaard,SLAGELSE
30839226,Pedersen's Nedbrydning v/Stefan Pedersen,SLAGELSE
36106514,Skælskør Grønthandler,SLAGELSE
72799119,SLAGELSE FOLKEDANSERFORENING,SLAGELSE
26098327,Tømrermester Michael Worm,SLAGELSE
36218460,Sk8skool.dk,SLAGELSE
73021111,Sif'S Venner,SLAGELSE
15668016,GÅRDEJER FINN K CHRISTENSEN,SLAGELSE
29438277,Olica v/Pernille Helmer,SLAGELSE
36180919,I P KØKKEN DESIGN V/IB FRANK PETERSEN,SLAGELSE
27090273,Bakkegaard                        v/Bent Skare Nielsen,SLAGELSE
25557727,Rådhuskroen v/Inge & Hother Nielsen,SLAGELSE
33734492,Kageuniverset v/Mie Bork Lundgreen,SLAGELSE
72257456,Klonic-Pc- Discount,SLAGELSE
28987242,SLAGELSE BRYGHUS ApS,SLAGELSE
26922011,Kiropraktor Henrik Slott Hansen,SLAGELSE
35893393,VIKARFITNESS.COM ApS,SLAGELSE
25656679,"Excitement v/J Pedersen,M Pedersen,                                 L Nielsen",SLAGELSE
26307759,Herstal.It v/ Stig Jensen,SLAGELSE
37098051,CD,SLAGELSE
25728971,Team Outdoor Group v/Geert Holm Christensen,SLAGELSE
26109485,ARKITEKTFIRMAET J. BJ.            THORLAKSSON ApS,SLAGELSE
26659736,SADOLIN FARVELAND FINN ANDERSEN   ApS,SLAGELSE
10937779,BL. GLAS OG ALUFACADER A/S,SLAGELSE
10730805,ANETTE JENSEN,SLAGELSE
37459577,Witting service & transport,SLAGELSE
41301155,bil & motor foreningen,SLAGELSE
32245390,Hocke's Konsulentvirksomhed v/Lars Andreas Hocke,SLAGELSE
32710263,E-skilte I/S,SLAGELSE
29443203,BUTIK SOPHIE ApS,SLAGELSE
29615195,MJJM1 ApS,SLAGELSE
31472180,PMS ApS,SLAGELSE
16728977,H. S. HOLDING A/S,SLAGELSE
25945840,STILLADSFIRMAET WEIDEMANN A/S,SLAGELSE
29258414,Borella Byg og Design v/Bob Jensen,SLAGELSE
37457434,SF Multiservice,SLAGELSE
16319287,NOISIV ApS,SLAGELSE
40124675,JJ Service,SLAGELSE
19046206,A/S PSE NR. 4919,SLAGELSE
35965831,A.El-habet entreprenør,SLAGELSE
32746195,Haveforeningen STRANDPARKEN,SLAGELSE
33005369,Ejerlejlighedsforeningen Holbergsgade 13,SLAGELSE
34658595,Den Vietnamesiske Montagnard Forening Slagelse DK,SLAGELSE
29915741,EJENDOMSSELSKABET BØJE PEDERSEN ApS,SLAGELSE
29749329,Grønt og Frugt Center Basem Abdalla,SLAGELSE
32443702,SANARY ApS,SLAGELSE
30257006,Tårnborg Idrætsforening Gymnastikafdelingen,SLAGELSE
41476842,Living by Kirk,SLAGELSE
36572795,Juleaftensgruppen,SLAGELSE
33345003,Omø Idrætsforening,SLAGELSE
36598786,Oxboll,SLAGELSE
27970591,DANSK DATA BANK ApS UNDER         STIFTELSE,SLAGELSE
18561743,KIRKE STILLINGE FORSAMLINGSHUS V/CLAUS BALSHØJ SØRENSEN,SLAGELSE
36113669,Slagelse Broderkreds,SLAGELSE
33541805,BeautyCare Slagelse v/Stine Svare Hansen,SLAGELSE
26958873,Mølgaard Hydrometri v/Lars Mølgaard Laustsen,SLAGELSE
34797277,Mønsterkolonien,SLAGELSE
36664444,Husmoderforeningen anno 2015,SLAGELSE
38144650,BVP Bogføring og Kontor Service,SLAGELSE
33112084,HVK Storebælt Støtteforening,SLAGELSE
32197256,Maler Majken v/Majken Holm,SLAGELSE
40204504,Grundejerforeningen Enghavevej,SLAGELSE
37317691,Ejerlauget Musholmparken 2,SLAGELSE
12637594,S L BYGGEENTREPRISE V/SØREN LANGKJÆR,SLAGELSE
40846344,MP RENGØRINGSTJENESTER,SLAGELSE
11868185,VAGN'S KØRESKOLE V/VAGN LARSEN,SLAGELSE
29642923,King of Kebab v/Ersin Türkmen,SLAGELSE
32756158,Ejerforeningen Nygade 25,SLAGELSE
34654700,Ejendommen Nytorv 4 v/Jonna Pedersen,SLAGELSE
28122772,HH BILSALG ApS,SLAGELSE
39935090,CentralVikar IVS,SLAGELSE
25697669,FOCUS FOTO HOLDING ApS,SLAGELSE
21696382,REVISORERNE DALSGAARD. STAHL & WØLDIKE. STATSAUTORISERET REVISIONSANPARTSSELSKAB,SLAGELSE
29919801,ND REVISION SLAGELSE REGISTRERET  REVISIONSAKTIESELSKAB,SLAGELSE
30249860,Slagelse Volleyballklub af 1973,SLAGELSE
32802109,D19S Alarm & Service v/Dennis Jørgensen,SLAGELSE
35198555,Tårnborg Sogns Hyggeklub,SLAGELSE
38207636,Hawaii Sun Slagelse ApS,SLAGELSE
40459553,grundejerforeningen Pantholm 24,SLAGELSE
14983341,C K AUTOMOBILER V/CARSTEN KRAMER JENSEN,SLAGELSE
33608101,Grundejerforeningen Grendalsvej,SLAGELSE
30862538,TB marketing v/Trine Filsø Berthelsen,SLAGELSE
40587543,Haveforeningen Østervang,SLAGELSE
32847226,Nuvoa Italia v/Arif Alperen Bagci,SLAGELSE
24991210,P.T. Herretøj A/S,SLAGELSE
28851731,AKTIVT VELVÆRE EJENDOMME A/S,SLAGELSE
29010765,VESTERGAARDENS TRANSPORT ApS,SLAGELSE
30969367,Murermester v/Thomas Stein Jensen,SLAGELSE
27030572,GLARMESTER NIELS P. JØRGENSEN ApS,SLAGELSE
37795496,EV Ejendomme A/S,SLAGELSE
34093105,LEAF DANMARK EJENDOMSSELSKAB ApS,SLAGELSE
38057103,Leva Ejendomme A/S,SLAGELSE
40327576,Blower Door-light ApS,SLAGELSE
35111913,Horndrup nu,SLAGELSE
32426700,Andelsboligforeningen Kildehusene III,SLAGELSE
32744540,Andelsboligforeningen Storebælt,SLAGELSE
40623663,Bådfarten Skjelskør V ApS,SLAGELSE
26113717,Denis Autoværksted                v/Denis Bertelsen,SLAGELSE
32791417,Andelsboligforeningen Lærken,SLAGELSE
34457336,PJB HOLDING KORSØR ApS,SLAGELSE
78251212,TANDLÆGE                          MARIANN LUNDGREN ANDERSEN ApS,SLAGELSE
34642958,De frivillige Blæksprutter i Slagelse,SLAGELSE
37508497,Nye Borgerlige i Slagelse kommune,SLAGELSE
37128066,Jan Pedersen,SLAGELSE
37062189,FinneByg,SLAGELSE
34547483,De ældres klub,SLAGELSE
37814679,"Grundejerforeningen Nankes Plads 1-5, Korsør",SLAGELSE
26580684,Kultur-og Erhvervssammenslutningen,SLAGELSE
35712488,Grundejerforeningen Skytteengen-Syd,SLAGELSE
37593095,Beboerforeningen Hellig Anders,SLAGELSE
41432853,Subbi´s Rudetoning ApS,SLAGELSE
25096630,Nybolig Erhverv Vestsjælland      v/Jørgen Klode,SLAGELSE
32268293,FIBERG CONSULT ApS,SLAGELSE
29479453,ABF Byskellet IV,SLAGELSE
35995692,Haveforeningen Trekanten,SLAGELSE
35707204,Handymanden v/Kenneth Grymen,SLAGELSE
28653344,Per Hillo,SLAGELSE
14454098,NIELS OTTO BUCHARDT PETERSEN,SLAGELSE
36399376,EW EJENDOMME A/S,SLAGELSE
31063957,EV BOLIG ERHVERV A/S,SLAGELSE
67692810,KIRKE-STILLINGE MENIGHEDSRÅD,SLAGELSE
29539553,HP INVEST AF 22. MAJ 2006 ApS,KORSØR
33519982,Køreskolen Anders Odgaard Støvring,SLAGELSE
78959312,Meripol I/S                       v/E Sørensen & M Petersen,SLAGELSE
26746183,Vestergaard's Mandskabs Udlejning v/Ole Vestergaard,SLAGELSE
19215601,TORBENS HAVE & HJEMMESERVICE V/TORBEN NIELSEN,SLAGELSE
25361229,Guldsmed Wagdi Hanin,SLAGELSE
21710970,SLAGELSE SVØMMEHAL'S CEFETERIA    V/JENS HANDEST,SLAGELSE
80762313,KLINIK F FYSIOTERAPI              V/METTE MØLLER,SLAGELSE
19942902,REFLEX VINDUESPOLERING            V/STEEN JENSEN,SLAGELSE
34542880,Bjergbyparkens Venneforening,SLAGELSE
17571346,MURERMESTER HANS ERIK HANSEN ApS,SLAGELSE
26936624,Cafe Nattergalen                  v/Bade Uzundal,SLAGELSE
11053238,SLAGELSE VELGØRENHEDSSELSKAB,SLAGELSE
