CVR Nummer,Navn,Kommune Navn
37494437,Vikar og Gastronomi IVS,SLAGELSE
27369545,BOLIG - X - PERTEN ApS,SLAGELSE
31316170,Andersen Translation v/Elena Bang-Andersen,SLAGELSE
38042971,BOIHUS,SLAGELSE
18103400,Picco-Bello v/Khaled Hussein Charide,SLAGELSE
25488032,BRUNO HANSEN HOLDING ApS,SLAGELSE
25161467,SØREN JUL MADSEN HOLDING ApS,SLAGELSE
89786517,MENIGHEDSPLEJEN I SLAGELSE,SLAGELSE
36578173,K-BILER,SLAGELSE
49892411,"V. HOLM JENSEN RADIO, SLAGELSE A/S",SLAGELSE
34482098,2TAL SERVICE ApS,SLAGELSE
36540826,FEMALE D'LUXE ApS,SLAGELSE
27084516,Cafe Mikkel                       v/Jane Vestergaard,SLAGELSE
82986510,BJARNE SØRENSEN. SLAGELSE ApS,SLAGELSE
25361563,Computer Problemer V/Torben Ryttersgaard,SLAGELSE
32412890,Ejerforeningen Grønlandsvej 9A og 9B,SLAGELSE
35962727,BB Multi Assistance,SLAGELSE
19122298,CEMERGI V/CARSTEN ENØE MØLLER,SLAGELSE
18926997,Ejner Jensens Sønner v/Claus Berger og Anette Jensen,SLAGELSE
52215218,KFUM SPEJDERNE SCT MICHAELS GRUPPE,SLAGELSE
29854718,Trelleborg Spejderne,SLAGELSE
25150449,Slagelse Alternative Hud og Hår- Pleje Klinik v/Mette G. Jensen,SLAGELSE
33767722,E-TASKER.DK ApS,SLAGELSE
32756042,Ejerlejlighedsforeningen Havnegade 5-7,SLAGELSE
37678325,Slagelse Rotary Klub,SLAGELSE
31105854,Ztrong,SLAGELSE
46920112,SLAGELSE SVØMMEKLUB,SLAGELSE
53488528,KELDSTRUP FORSAMLINGSHUS,SLAGELSE
25445147,Jesper Lerche,SLAGELSE
26467985,Søren Christiansen,SLAGELSE
40685952,Mother Fit,SLAGELSE
33630220,Flisa's Flid v/Elisabeth Skov Ursin,SLAGELSE
19255573,Multi Import                      v/Johnny Dall,SLAGELSE
20544686,KR BYGGESERVICE ApS,SLAGELSE
30483502,Senior Erhverv Vest- og Midtsjælland,SLAGELSE
15706996,VICH 3316 ApS,SLAGELSE
73895111,SALON GITTE V/GITTE HANSSON,SLAGELSE
32516653,Biavlerforeningen i Ny Slagelse,SLAGELSE
19027279,MK POLERING                       V/MICHAEL KIRKESKOV HANSEN,SLAGELSE
17322494,MICHAEL VEJLGAARD ØRNSKJOLD,SLAGELSE
32380379,Ungdomsklubben Stjernen,SLAGELSE
34357692,Skovly,SLAGELSE
25856902,Shape v/Lene Holst Hansen,SLAGELSE
16367583,POUL W NIELSEN & SØN              V/MICHAEL NIELSEN,SLAGELSE
86587416,VOGNMAND TOMMY KLINT NIELSEN,SLAGELSE
39857871,Tårnborg eSport,SLAGELSE
34518483,foreningen Tao Centret,SLAGELSE
34470480,NETOMSORG ApS,SLAGELSE
31669820,kismer multi energi v/Henrik Kismer Hansen,SLAGELSE
12534272,CH FRUGT ApS,SLAGELSE
25330242,SLAGELSE ENTREPRENØRSERVICE ApS,SLAGELSE
25893476,K.S. Auto v/Kenneth Hansen,SLAGELSE
35310053,Haveforeningen Fasanvænget,SLAGELSE
36925655,Optimus Anlæg A/S,SLAGELSE
32107079,Diels v/Jørn Dirksen,SLAGELSE
80414811,TINGHØJGÅRD                       V/HARLY NIELSEN,SLAGELSE
21252174,SLAGELSE-KORSØR PROVSTIUDVALG     V/PROVST OLE CHR. IVERTSEN,SLAGELSE
77329013,CENTERSKOMAGEREN                  V/FRANDS CHRISTIANSEN,SLAGELSE
33767234,WEB COMPANIES HOLDING ApS,SLAGELSE
37430021,w.c transport,SLAGELSE
32635148,Andelsboligforeningen Lovsø,SLAGELSE
34397627,Frisør Lotte Heidel,SLAGELSE
29917159,KARSTEN THUNBO HOLDING REGISTRERET REVISIONSANPARTSSELSKAB,SLAGELSE
25508696,Ballegaard Consult v/Niels Ulrich Ballegaard,SLAGELSE
25760107,KISTEFLA HOLDING ApS,SLAGELSE
27285163,SP ITConsult v/Steen Petersen,SLAGELSE
26760461,Dissing Consult & Sales           v/Jens E. Dissing,SLAGELSE
26351634,Realmæglerne                      Gade Nielsen,SLAGELSE
34840989,Socialkonsulent/Mette Schæffer Jørgensen,SLAGELSE
29983100,Scansolutions v/Morten Andersen,SLAGELSE
80493312,Hans Erich Steenberg,SLAGELSE
