,cvr_nummer,navn,kommune_navn,antal_ansatte
85,20976802,TRAFIK- OG TRANSPORTCENTER        SJÆLLAND A/S,SLAGELSE,0.0
86,28994524,MØLLER & STRANDET INVEST ApS,SLAGELSE,2.0
87,37494437,Vikar og Gastronomi IVS,SLAGELSE,0.0
88,27369545,BOLIG - X - PERTEN ApS,SLAGELSE,1.0
89,31316170,Andersen Translation v/Elena Bang-Andersen,SLAGELSE,0.0
90,38042971,BOIHUS,SLAGELSE,
91,30293436,Ekstrem Byg v/Brian Christophersen,SLAGELSE,0.0
92,53489214,ODD FELLOW BYGNINGENS RESTAURANT,SLAGELSE,2.0
93,32830439,CESTEK ApS,SLAGELSE,1.0
94,38551663,Musicalforeningen Storebælt,SLAGELSE,
95,30001672,Anders Sværke,SLAGELSE,
96,36578173,K-BILER,SLAGELSE,0.0
97,49892411,"V. HOLM JENSEN RADIO, SLAGELSE A/S",SLAGELSE,10.0
98,34482098,2TAL SERVICE ApS,SLAGELSE,14.0
99,36540826,FEMALE D'LUXE ApS,SLAGELSE,2.0
100,27084516,Cafe Mikkel                       v/Jane Vestergaard,SLAGELSE,7.0
101,25361563,Computer Problemer V/Torben Ryttersgaard,SLAGELSE,0.0
102,32412890,Ejerforeningen Grønlandsvej 9A og 9B,SLAGELSE,
103,35962727,BB Multi Assistance,SLAGELSE,0.0
104,19122298,CEMERGI V/CARSTEN ENØE MØLLER,SLAGELSE,0.0
105,18926997,Ejner Jensens Sønner v/Claus Berger og Anette Jensen,SLAGELSE,1.0
106,52215218,KFUM SPEJDERNE SCT MICHAELS GRUPPE,SLAGELSE,1.0
107,29854718,Trelleborg Spejderne,SLAGELSE,
108,25150449,Slagelse Alternative Hud og Hår- Pleje Klinik v/Mette G. Jensen,SLAGELSE,0.0
109,33767722,E-TASKER.DK ApS,SLAGELSE,3.0
110,32756042,Ejerlejlighedsforeningen Havnegade 5-7,SLAGELSE,
111,37678325,Slagelse Rotary Klub,SLAGELSE,
112,82986510,BJARNE SØRENSEN. SLAGELSE ApS,SLAGELSE,22.0
113,25445147,Jesper Lerche,SLAGELSE,0.0
114,19255573,Multi Import                      v/Johnny Dall,SLAGELSE,1.0
115,20544686,KR BYGGESERVICE ApS,SLAGELSE,3.0
116,40685952,Mother Fit,SLAGELSE,
117,33630220,Flisa's Flid v/Elisabeth Skov Ursin,SLAGELSE,0.0
118,26467985,Søren Christiansen,SLAGELSE,0.0
119,15706996,VICH 3316 ApS,SLAGELSE,0.0
120,32516653,Biavlerforeningen i Ny Slagelse,SLAGELSE,
121,73895111,SALON GITTE V/GITTE HANSSON,SLAGELSE,0.0
122,30483502,Senior Erhverv Vest- og Midtsjælland,SLAGELSE,
123,19027279,MK POLERING                       V/MICHAEL KIRKESKOV HANSEN,SLAGELSE,1.0
124,17322494,MICHAEL VEJLGAARD ØRNSKJOLD,SLAGELSE,0.0
125,34357692,Skovly,SLAGELSE,
126,32380379,Ungdomsklubben Stjernen,SLAGELSE,
127,46920112,SLAGELSE SVØMMEKLUB,SLAGELSE,14.0
128,53488528,KELDSTRUP FORSAMLINGSHUS,SLAGELSE,
129,31105854,Ztrong,SLAGELSE,0.0
130,25856902,Shape v/Lene Holst Hansen,SLAGELSE,1.0
131,16367583,POUL W NIELSEN & SØN              V/MICHAEL NIELSEN,SLAGELSE,0.0
132,86587416,VOGNMAND TOMMY KLINT NIELSEN,SLAGELSE,2.0
133,39857871,Tårnborg eSport,SLAGELSE,
134,34518483,foreningen Tao Centret,SLAGELSE,
135,34470480,NETOMSORG ApS,SLAGELSE,
136,31669820,kismer multi energi v/Henrik Kismer Hansen,SLAGELSE,
137,12534272,CH FRUGT ApS,SLAGELSE,4.0
138,25330242,SLAGELSE ENTREPRENØRSERVICE ApS,SLAGELSE,3.0
139,25893476,K.S. Auto v/Kenneth Hansen,SLAGELSE,0.0
140,35310053,Haveforeningen Fasanvænget,SLAGELSE,
141,36925655,Optimus Anlæg A/S,SLAGELSE,12.0
142,32107079,Diels v/Jørn Dirksen,SLAGELSE,0.0
143,80414811,TINGHØJGÅRD                       V/HARLY NIELSEN,SLAGELSE,1.0
144,21252174,SLAGELSE-KORSØR PROVSTIUDVALG     V/PROVST OLE CHR. IVERTSEN,SLAGELSE,2.0
145,77329013,CENTERSKOMAGEREN                  V/FRANDS CHRISTIANSEN,SLAGELSE,1.0
146,33767234,WEB COMPANIES HOLDING ApS,SLAGELSE,
147,37430021,w.c transport,SLAGELSE,0.0
148,32635148,Andelsboligforeningen Lovsø,SLAGELSE,
149,34397627,Frisør Lotte Heidel,SLAGELSE,0.0
150,29917159,KARSTEN THUNBO HOLDING REGISTRERET REVISIONSANPARTSSELSKAB,SLAGELSE,
151,25508696,Ballegaard Consult v/Niels Ulrich Ballegaard,SLAGELSE,0.0
152,25760107,KISTEFLA HOLDING ApS,SLAGELSE,
153,27285163,SP ITConsult v/Steen Petersen,SLAGELSE,0.0
154,26760461,Dissing Consult & Sales           v/Jens E. Dissing,SLAGELSE,0.0
155,26351634,Realmæglerne                      Gade Nielsen,SLAGELSE,1.0
156,34840989,Socialkonsulent/Mette Schæffer Jørgensen,SLAGELSE,
157,29983100,Scansolutions v/Morten Andersen,SLAGELSE,0.0
158,80493312,Hans Erich Steenberg,SLAGELSE,2.0
159,28192959,Vestsjællands Bilsyn v/Niels Holger Rask Larsen,SLAGELSE,7.0
160,36184620,GHISALLO ApS,SLAGELSE,
161,31366623,DOWNTOWN ApS,SLAGELSE,3.0
162,32495230,Fonden Andersen Netværk,SLAGELSE,25.0
163,30657918,SPAR v/Michella Skovgård Nielsen,SLAGELSE,4.0
164,29612706,MJJM A/S,SLAGELSE,
165,32473148,REGISTRATION DENMARK ApS,SLAGELSE,23.0
166,33723881,Vemmelevhallens Cafeteria v/Michelle Kiralyfalvy,SLAGELSE,0.0
167,32793886,Ejerforeningen Ndr.Stationsvej 14y,SLAGELSE,
168,32409342,2. Hellig Anders Gruppe,SLAGELSE,
169,32812554,Ejerforeningen Slotsgade 4-6,SLAGELSE,
170,26792452,Dino's automobiler                v/Hüdai Yilmaz,SLAGELSE,1.0
171,27394795,BF ANDERSEN HOLDING ApS,SLAGELSE,1.0
172,39062038,Jess International ApS,SLAGELSE,
173,40843876,CO2 Danmark ApS,SLAGELSE,
174,32375170,Andelsboligforeningen Grevens Træer,SLAGELSE,
175,35960805,Bildsø Camping og feriekoloni,SLAGELSE,0.0
176,32050255,KORSØR KART KLUB V/SVEN LAUTRUP,SLAGELSE,1.0
177,17930702,KTX 29/7 1994 ApS,SLAGELSE,4.0
178,29396361,SAF-ENERGI A/S,SLAGELSE,1.0
179,26863899,SK-NET A/S,SLAGELSE,
180,34384029,Gerlev Idrætshøjskoles elevforening,SLAGELSE,
181,33413149,"Ejerforeningen Skovvej 21-23, 4220 Korsør",SLAGELSE,
182,31964202,Klaus Kvist Rasmussen,SLAGELSE,0.0
183,33665725,Korsør Gymnastikforening,SLAGELSE,
184,36370599,Svalebjerg MC,SLAGELSE,0.0
185,31742951,ANDELSSELSKABET LILLE EBBERUP-NÆSBYSKOV VANDVÆRK,SLAGELSE,
186,28495498,GEORG BERG EJENDOMME ApS,SLAGELSE,
187,33995385,Korsør Politihundeforening,SLAGELSE,
188,30164873,Antvorskov Badmintonklub,SLAGELSE,
189,29235457,KA-Service v/ Kim Andersen,SLAGELSE,0.0
190,30291107,"Husstyrelsen for ""Kløverhust"" og "" Huset ved Skoven""",SLAGELSE,1.0
191,32963943,Andelsboligforeningen Skytteengen IV,SLAGELSE,
192,10151511,SEJS HOLDING ApS,SLAGELSE,
193,30159004,Inyou v/Ninna Lundsgaard Jørgensen,SLAGELSE,
